path,label
data/Tobacco3482-images/Letter/505486448_505486456.jpg,Letter
data/Tobacco3482-images/Form/2071133389.jpg,Form
data/Tobacco3482-images/Email/2085136346b.jpg,Email
data/Tobacco3482-images/Form/2028874609.jpg,Form
data/Tobacco3482-images/Form/2076451948.jpg,Form
data/Tobacco3482-images/Form/2505375213.jpg,Form
data/Tobacco3482-images/Form/505857485.jpg,Form
data/Tobacco3482-images/Letter/502450770_502450771.jpg,Letter
data/Tobacco3482-images/Scientific/PUBLICATIONS040939-0.jpg,Scientific
data/Tobacco3482-images/Scientific/2500016783_6794.jpg,Scientific
data/Tobacco3482-images/News/2048270201.jpg,News
data/Tobacco3482-images/Memo/2076790792.jpg,Memo
data/Tobacco3482-images/Advertisement/509138972+-8972.jpg,Advertisement
data/Tobacco3482-images/Form/2054599438.jpg,Form
data/Tobacco3482-images/Email/2075247914.jpg,Email
data/Tobacco3482-images/Note/2505475748.jpg,Note
data/Tobacco3482-images/Email/80909413.jpg,Email
data/Tobacco3482-images/Letter/40015160-5160.jpg,Letter
data/Tobacco3482-images/Resume/50489607-9608.jpg,Resume
data/Tobacco3482-images/Email/2083319138c.jpg,Email
data/Tobacco3482-images/Report/517155795+-5795.jpg,Report
data/Tobacco3482-images/Advertisement/512725630.jpg,Advertisement
data/Tobacco3482-images/Form/2086083943.jpg,Form
data/Tobacco3482-images/News/1003044181.jpg,News
data/Tobacco3482-images/Form/2063195729.jpg,Form
data/Tobacco3482-images/Letter/513262199.jpg,Letter
data/Tobacco3482-images/Letter/502406921_502406922.jpg,Letter
data/Tobacco3482-images/Form/2050754031-a.jpg,Form
data/Tobacco3482-images/Memo/2073420633.jpg,Memo
data/Tobacco3482-images/Letter/512315558.jpg,Letter
data/Tobacco3482-images/Advertisement/1005116329_6330.jpg,Advertisement
data/Tobacco3482-images/Memo/1003194341_1003194342.jpg,Memo
data/Tobacco3482-images/News/2074121288.jpg,News
data/Tobacco3482-images/News/2083779691.jpg,News
data/Tobacco3482-images/Report/507778811_507778812.jpg,Report
data/Tobacco3482-images/Email/2074602877.jpg,Email
data/Tobacco3482-images/Note/2029160542.jpg,Note
data/Tobacco3482-images/Form/2086086330.jpg,Form
data/Tobacco3482-images/Form/2029001293.jpg,Form
data/Tobacco3482-images/Advertisement/502217247+-7247.jpg,Advertisement
data/Tobacco3482-images/Form/2063330045.jpg,Form
data/Tobacco3482-images/Memo/2042404241.jpg,Memo
data/Tobacco3482-images/Advertisement/2501053670.jpg,Advertisement
data/Tobacco3482-images/Advertisement/2084412816_2817.jpg,Advertisement
data/Tobacco3482-images/Memo/89286069.jpg,Memo
data/Tobacco3482-images/Form/2050883337.jpg,Form
data/Tobacco3482-images/Letter/504034961_504034962.jpg,Letter
data/Tobacco3482-images/Scientific/50628622-8624.jpg,Scientific
